Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Álex Baena,Attacking Midfield,22,Villarreal CF,174,right,3,1,40000000,Spain,1.74
Nico Williams,Left Winger,21,Athletic Bilbao,181,right,13,2,60000000,Spain,1.81
Ferran Torres,Left Winger,24,FC Barcelona,184,right,41,19,30000000,Spain,1.84
Ayoze Pérez,Left Winger,30,Real Betis Balompié,178,right,1,1,7000000,Spain,1.78
Lamine Yamal,Right Winger,16,FC Barcelona,178,left,6,2,90000000,Spain,1.78
Mikel Oyarzabal,Centre-Forward,27,Real Sociedad,181,left,29,10,45000000,Spain,1.81
Álvaro Morata,Centre-Forward,31,Atlético de Madrid,189,right,72,34,16000000,Spain,1.89
Joselu,Centre-Forward,34,Real Madrid,191,right,10,5,5000000,Spain,1.91
Dominik Livakovic,Goalkeeper,29,Fenerbahce,188,right,53,0,11000000,Croatia,1.88
Nediljko Labrovic,Goalkeeper,24,HNK Rijeka,196,right,1,0,4500000,Croatia,1.96
Ivica Ivusic,Goalkeeper,29,Pafos FC,195,right,6,0,2500000,Croatia,1.95
Josip Stanisic,Centre-Back,24,Bayer 04 Leverkusen,187,both,17,0,28000000,Croatia,1.87
Josip Sutalo,Centre-Back,24,Ajax Amsterdam,190,right,13,0,15000000,Croatia,1.9
Marin Pongracic,Centre-Back,26,US Lecce,193,right,7,0,7000000,Croatia,1.93
Martin Erlić,Centre-Back,26,US Sassuolo,193,right,9,0,3000000,Croatia,1.93
Domagoj Vida,Centre-Back,35,AEK Athens,184,right,105,4,1200000,Croatia,1.84
Josko Gvardiol,Left-Back,22,Manchester City,185,left,29,2,75000000,Croatia,1.85
Borna Sosa,Left-Back,26,Ajax Amsterdam,187,left,20,1,7500000,Croatia,1.87
Josip Juranovic,Right-Back,28,1.FC Union Berlin,173,right,37,0,7500000,Croatia,1.73
Marcelo Brozovic,Defensive Midfield,31,Al-Nassr FC,181,both,95,7,16000000,Croatia,1.81
Mateo Kovacic,Central Midfield,30,Manchester City,177,right,100,5,30000000,Croatia,1.77
