Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Rui Patrício,Goalkeeper,36,AS Roma,190,left,108,0,1000000,Portugal,1.9
Rúben Dias,Centre-Back,27,Manchester City,187,right,55,3,80000000,Portugal,1.87
Gonçalo Inácio,Centre-Back,22,Sporting CP,186,left,7,2,45000000,Portugal,1.86
António Silva,Centre-Back,20,SL Benfica,187,right,10,0,45000000,Portugal,1.87
Pepe,Centre-Back,41,FC Porto,187,right,136,8,500000,Portugal,1.87
Nuno Mendes,Left-Back,21,Paris Saint-Germain,183,left,21,0,55000000,Portugal,1.83
Diogo Dalot,Right-Back,25,Manchester United,184,right,18,2,35000000,Portugal,1.84
João Cancelo,Right-Back,30,FC Barcelona,182,right,52,10,25000000,Portugal,1.82
Nélson Semedo,Right-Back,30,Wolverhampton Wanderers,177,right,28,0,12000000,Portugal,1.77
João Palhinha,Defensive Midfield,28,Fulham FC,190,right,26,2,55000000,Portugal,1.9
João Neves,Defensive Midfield,19,SL Benfica,174,right,6,0,55000000,Portugal,1.74
Rúben Neves,Defensive Midfield,27,Al-Hilal SFC,180,right,46,0,32000000,Portugal,1.8
Danilo Pereira,Defensive Midfield,32,Paris Saint-Germain,188,right,72,2,8000000,Portugal,1.88
Matheus Nunes,Central Midfield,25,Manchester City,183,right,12,2,50000000,Portugal,1.83
Vitinha,Central Midfield,24,Paris Saint-Germain,172,right,16,0,50000000,Portugal,1.72
Bruno Fernandes,Attacking Midfield,29,Manchester United,179,right,65,22,70000000,Portugal,1.79
Bernardo Silva,Attacking Midfield,29,Manchester City,173,left,88,11,70000000,Portugal,1.73
Rafael Leão,Left Winger,24,AC Milan,188,right,25,4,90000000,Portugal,1.88
Diogo Jota,Left Winger,27,Liverpool FC,178,right,37,13,50000000,Portugal,1.78
Pedro Neto,Right Winger,24,Wolverhampton Wanderers,172,left,6,1,55000000,Portugal,1.72
Francisco Conceição,Right Winger,21,FC Porto,170,left,2,0,22000000,Portugal,1.7
João Félix,Second Striker,24,FC Barcelona,181,right,37,7,30000000,Portugal,1.81
Gonçalo Ramos,Centre-Forward,22,Paris Saint-Germain,185,right,12,8,50000000,Portugal,1.85
Cristiano Ronaldo,Centre-Forward,39,Al-Nassr FC,188,right,206,128,15000000,Portugal,1.88
Matej Kovar,Goalkeeper,24,Bayer 04 Leverkusen,196,right,1,0,7000000,Czech Republic,1.96
Vitezslav Jaros,Goalkeeper,22,SK Sturm Graz,190,right,0,0,5000000,Czech Republic,1.9
Jindrich Stanek,Goalkeeper,28,SK Slavia Prague,192,right,9,0,3500000,Czech Republic,1.92
Martin Vitík,Centre-Back,21,AC Sparta Prague,193,right,1,0,12000000,Czech Republic,1.93
Ladislav Krejci,Centre-Back,25,AC Sparta Prague,191,left,9,3,10000000,Czech Republic,1.91
Tomas Vlcek,Centre-Back,23,SK Slavia Prague,181,right,1,0,6000000,Czech Republic,1.81
Robin Hranac,Centre-Back,24,FC Viktoria Plzen,190,right,1,0,5000000,Czech Republic,1.9
David Zima,Centre-Back,23,SK Slavia Prague,192,right,20,1,4000000,Czech Republic,1.92
Tomas Holes,Centre-Back,31,SK Slavia Prague,180,right,27,2,2200000,Czech Republic,1.8
David Jurásek,Left-Back,23,TSG 1899 Hoffenheim,183,left,7,0,8000000,Czech Republic,1.83
Vladimír Coufal,Right-Back,31,West Ham United,174,right,40,1,8000000,Czech Republic,1.74
Tomas Soucek,Defensive Midfield,29,West Ham United,192,right,68,12,30000000,Czech Republic,1.92
Michal Sadílek,Central Midfield,25,Twente Enschede FC,169,left,23,1,8000000,Czech Republic,1.69
Lukas Cerv,Central Midfield,23,FC Viktoria Plzen,182,-,0,0,1500000,Czech Republic,1.82
David Doudera,Right Midfield,26,SK Slavia Prague,175,right,8,1,3000000,Czech Republic,1.75
Lukas Provod,Left Midfield,27,SK Slavia Prague,189,left,18,2,3000000,Czech Republic,1.89
Pavel Sulc,Attacking Midfield,23,FC Viktoria Plzen,177,right,1,0,6000000,Czech Republic,1.77
Antonín Barák,Attacking Midfield,29,ACF Fiorentina,190,left,39,8,4500000,Czech Republic,1.9
Ondrej Lingr,Attacking Midfield,25,Feyenoord Rotterdam,175,right,13,0,3500000,Czech Republic,1.75
Matej Jurasek,Right Winger,20,SK Slavia Prague,181,-,1,0,8000000,Czech Republic,1.81
Vaclav Cerny,Right Winger,26,VfL Wolfsburg,182,left,15,5,7000000,Czech Republic,1.82
Adam Hlozek,Second Striker,21,Bayer 04 Leverkusen,188,right,31,2,12000000,Czech Republic,1.88
Patrik Schick,Centre-Forward,28,Bayer 04 Leverkusen,191,left,37,18,22000000,Czech Republic,1.91
Mojmír Chytil,Centre-Forward,25,SK Slavia Prague,187,-,12,4,6500000,Czech Republic,1.87
Jan Kuchta,Centre-Forward,27,AC Sparta Prague,185,right,20,3,5000000,Czech Republic,1.85
Tomas Chory,Centre-Forward,29,FC Viktoria Plzen,199,right,3,2,3200000,Czech Republic,1.99
